@relation train

@attribute a1 real
@attribute a2 real
@attribute a3 real
@attribute a4 real
@attribute a5 real
@attribute a6 real
@attribute a7 real
@attribute a8 real
@attribute a9 real
@attribute a10 real
@attribute a11 real
@attribute a12 real
@attribute a13 real
@attribute a14 real
@attribute a15 real
@attribute a16 real
@attribute a17 real
@attribute a18 real
@attribute a19 real
@attribute a20 real
@attribute a21 real
@attribute a22 real
@attribute a23 real
@attribute a24 real
@attribute a25 real
@attribute a26 real
@attribute a27 real
@attribute a28 real
@attribute a29 real
@attribute a30 real
@attribute a31 real
@attribute a32 {1,2,3,}

@data
-1.471669,-0.678985,-0.531969,-1.573007,-0.050483,-0.242048,-0.277978,-0.217498,-0.784865,-0.268880,-0.716223,-0.606019,1.495900,-0.908911,0.915163,-0.346540,-0.307111,0.936907,-0.431096,-0.342428,-0.184655,-0.297933,-0.203072,-0.380902,0.845927,-0.217146,-1.249899,-0.279335,-0.224998,-0.279334,0.164557,1
0.132600,-0.682915,-0.313717,-0.097713,0.229763,0.316481,0.249437,0.221399,0.334637,0.589874,0.111046,0.711898,0.056915,0.394303,-0.154606,0.972716,0.599103,-0.181508,-0.646875,-0.857658,-0.616849,-0.618977,-0.607899,-0.674512,-0.771343,-0.589150,-0.684393,-0.600259,-0.592871,-0.600258,0.256262,3
0.480185,-0.686796,-0.647972,0.600371,0.221308,-0.644040,-0.602582,-0.614635,-0.209144,-0.027282,-0.411483,0.468755,-0.424311,0.369160,0.610384,0.466775,-0.068569,0.595524,-0.417876,-0.528370,-0.410016,-0.531445,-0.209285,-0.440436,-0.645619,-0.494832,-0.470534,-0.312520,-0.492129,-0.312520,-0.755978,1
-1.275232,-0.222756,-0.218464,-0.688395,-0.808589,0.024868,0.034217,0.025770,-1.229593,-1.305694,-0.506183,-1.147759,1.332738,0.102381,1.181339,-1.041097,0.187339,1.840619,0.515029,0.219961,0.349346,0.130258,0.513008,0.651390,0.360584,0.509982,0.712371,0.355758,0.617682,0.522960,-0.330450,1
0.148936,-0.664920,0.633797,0.647268,0.537578,-0.316249,-0.617521,-1.732949,0.055422,-0.038054,0.380540,-0.441199,-0.580656,0.332114,-1.484238,-0.827871,-0.397187,-1.484237,-0.829248,-0.766286,-1.149975,-0.660567,-0.614966,-1.151280,0.025837,-0.356361,-0.582143,-0.780952,-0.353054,-0.780952,0.127342,1
-0.989062,-0.432865,-0.550618,-0.991607,-0.515311,-0.013241,-0.391789,-1.116997,-0.761672,-0.627785,-0.822484,-0.532270,1.097094,-0.949264,0.100435,-0.165323,-0.638863,0.100435,-0.339512,-0.508404,-0.386190,-0.734406,-0.369088,-0.031031,-0.405461,-0.368908,-0.077272,-0.407692,-0.367340,-0.407692,0.124779,1
-0.406315,-1.325800,-1.299563,-0.382611,-0.309122,-0.097199,-0.008853,0.005407,-0.737937,-0.285166,-1.159323,-1.116293,-0.076311,-1.678767,-0.036966,-0.385033,-1.724103,0.032602,-0.195924,-0.864655,-0.166208,-0.737875,-0.217850,0.352069,-0.387798,-0.193572,0.324684,-0.747466,-1.751348,-1.751445,-1.164965,3
-0.272056,-1.003096,-0.763060,-0.327459,0.225390,1.263972,-0.195965,-0.260264,-0.379343,0.128016,-0.643619,-0.578735,-0.111509,0.666420,0.056074,0.123874,-1.446236,0.167695,-1.995938,-1.912799,-1.758188,-1.869568,-1.746117,-1.052056,-1.124638,-1.860924,-1.002754,-2.047106,-1.448248,-1.446938,-0.913107,2
-0.286553,-1.057785,-0.516990,-0.446096,-0.127533,1.014355,2.230881,2.624557,0.509712,0.352079,0.029357,0.412277,0.841112,0.064611,0.145981,0.187007,0.403339,0.145981,-1.348721,-1.504946,-1.360990,-1.594315,-1.373550,-1.509573,1.377775,-1.370133,-1.397277,-1.407832,-1.370135,-1.407831,0.000000,2
-0.827298,-0.041208,-0.033088,-0.879243,-0.913302,0.198146,0.406798,0.559373,-0.846510,-0.996260,-0.662459,-0.351636,0.763874,-0.867462,-0.103768,-0.196246,-0.781084,-0.103768,0.324362,0.317526,0.509602,0.402394,0.159582,0.279285,-0.405461,0.149871,0.238841,-0.061539,0.153300,-0.061539,0.124779,2
-0.112454,-1.051652,-0.985384,-0.080307,0.767401,0.510696,0.551221,0.300436,0.241284,0.678251,-0.271564,0.594649,0.373995,0.470606,0.726024,0.643136,0.178462,0.747658,-0.933800,-0.342428,-0.849397,-0.297933,-0.844347,-0.710533,1.037679,-0.847564,-0.631806,-0.433559,-0.857800,-0.433559,0.164557,2
1.250200,-0.361308,-0.369672,1.278049,1.686805,-0.050490,-0.414559,-0.728557,1.466846,1.548777,1.242864,0.502332,-1.125443,1.318263,-0.099330,0.377714,1.517311,-0.099329,1.740489,1.473781,1.763717,1.376767,1.745614,1.675650,1.045923,1.706207,1.661371,1.669211,1.715157,1.669211,0.124779,3
-0.196457,0.028123,-0.229351,-0.408326,-0.751970,-1.102922,0.103768,0.340598,-0.521042,-0.872004,-0.406889,-0.585662,0.155682,-0.568372,1.057887,-0.565737,-0.586195,1.057886,-0.301803,-0.014083,-0.459658,0.253850,-0.563183,-0.062612,1.781607,-0.538061,0.046662,-1.031646,-0.538061,-1.031645,0.000000,3
0.004321,-0.713396,-0.731362,0.015991,0.243626,-0.066755,-0.591494,-0.620587,-0.154365,0.263974,-0.385707,-0.110906,-0.095638,0.307957,1.261361,-0.078243,-0.446276,1.261360,-1.190988,-1.447945,-1.300370,-1.551891,-1.086033,-1.167265,-1.225068,-1.073769,-1.082012,-1.307100,-1.073770,-1.307099,0.115478,3
0.804749,-0.243797,-0.041035,0.674472,-0.115590,0.695280,1.245879,1.104029,0.837664,0.256655,0.872780,0.652716,-0.424834,0.723240,0.702842,-0.045809,0.745687,0.927990,1.316953,0.958571,1.260358,1.346507,1.068540,0.500141,0.202178,0.985824,0.486488,0.973197,0.764598,0.742650,1.749858,2
-1.096388,-0.132198,-0.081866,-0.694156,-1.050144,0.141708,0.107357,-0.026687,-0.761371,-1.139516,-0.298346,-0.892683,1.125846,0.175225,1.652226,-0.775917,0.239012,1.901138,2.104310,1.082415,1.754267,1.350528,2.075154,2.163225,-0.693703,2.034038,2.259328,1.199432,1.137105,0.889244,-1.105808,1
-1.001176,-1.016869,-1.025013,-0.881726,-0.027729,-0.387345,-0.110815,-0.103275,-0.450610,0.011019,-0.740702,0.518849,1.085332,-0.231181,0.173898,0.730668,0.055194,0.195201,0.012872,-0.145297,0.147720,0.020019,-0.203072,-0.051276,-1.455384,0.098066,-0.013735,-0.125100,0.091405,-0.125100,0.164557,2
-0.047349,-0.597324,0.330666,-0.180855,-0.097315,0.509218,1.438396,2.078574,0.038834,-0.088795,0.113017,0.665333,0.110745,0.115208,-0.244129,1.213508,0.913513,-0.244129,1.079600,1.142331,1.050952,1.290210,0.858039,0.819076,-0.720434,1.102822,1.246682,1.045620,1.102824,1.045619,0.115478,2
0.199493,0.433901,0.739043,0.037034,-1.417483,-0.496883,0.233061,-0.422169,0.366948,0.009745,0.717349,0.320944,0.144845,-0.059438,-0.038527,0.651400,0.213859,-0.017352,-0.272750,-0.342428,-0.184655,-0.297933,-0.203072,-0.051276,-1.455384,-0.532350,-0.013735,-0.279335,-0.541399,-0.279334,0.164557,2
